,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379
10,昭和,建築,美,明治安田生命ビル,地下,マイ,プラザ,韓国料理,屋,黒,貴重,シック,内装,中,プルコギ,スンドゥブ,チーズタッカルビ,定番,メニュー,全面,喫煙席,ランチ,訪問,以降,全席,喫煙,店内,入店,カウンター,席,奥,方,卓,案内,牛,プルコギ,定食,アイスコーヒー,アイスティー,食前,アイスコーヒー,アイスコーヒー,一服,銀座,マロニエゲート,黒,基調,シック,内装,スタッフ,白,シャツ,黒,ロング,エプロン,統一,感,リアーナ,シーラ,歌姫,ボク,奥,卓,キャパ,個室,ガラス,ドア,間仕切り,他,一,箇所,個室,男性,グループ,利用,メイン,フロア,テーブル,提供,鉄板,上,熱,躍動感,定食,脂,分,エプロン,紙,エプロン,気遣い,牛肉,細切れ,タイプ,味,プルコギ,オニオンスライス,鉄板,全体,他,パプリカ,大量,サラダ,水菜,入り,大根,サラダ,和風ドレッシング,小鉢,辛さ,控えめ,キムチ,ナムル,汁物,一風,味つけ,入り,先日,二重,橋,ビル,焼肉,マルゴ,プルコギ,味付け,当店,方,好み,油,感じ,後,客,男女,ソロ,女性,グループ,煙草,人,メイン,エリア,喫煙者,個室,案内,全面,喫煙,空間分煙,隣,グループ,前,倒産,現在,経営,母体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,平日,半,前,訪問,店内,具合,韓国料理,屋,ランチ,ユッケジャン,オーダー,日,ユッケジャン,辛め,提供,時,カプサイシン,ソース,コチュジャン,前,一口,コク,カプサイシン,ソース,コチュジャン,味,調整,笑,味,辛さ,具材,多め,春雨,人参,玉ねぎ,ユッケジャン,スープ,感じ,食後,コーヒー,紅茶,付く,丸の内,満足,ランチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,東京ドームシティ,用事,ピザ,入店,イベント,入店,待ち時間,弱,注文,ピザラザーニャ,トマト,ペペロンチーノ,生ビール,注文,後,スムーズ,料理,ピザ,釜,生地,香り,香り,パスタ,トマト,組み合わせ,味付け,塩分,麺,加減,時間帯,外,イルミネーション,店内,灯り,雰囲気,食事,一つ,気,入口,店員,男性,テーブル,食器,急ぎ,気味,皿,フォーク,手,私,コート,上,フォーク,コート,ピザ,パスタ,値段,高め,次回,ランチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,平日,昼飲み,優雅,連れ,紹介,店,ミーツポート,商業施設,レストラン,期待,店内,予約,余裕,入店,予約,一番,奥,感じ,席,案内,接客,感じ,好感,平日,ランチタイム,ディナー,メニュー,仕込み,大丈夫,柔軟,対応,神,笑,新鮮,魚,朝,築地市場,ディナー,メニュー,本日,海鮮,メニュー,アクアパッツァ,連れ,タイプ,カンパチ,カルパッチョ,我慢,泣,タコ,セロリ,マリネ,笑,連れ,先,生ハム,盛り合わせ,ワイン,私,押し,白,シャルドネ,樽,香,笑生,ハム,盛り合わせ,ボリューム,生ハム,私,好き,笑,タコ,セロリ,マリネ,値段,量,タコ,セロリ,笑,カンパチカルパッチョ,笑,オシャレ,笑,彩り,豊,味,ピザ,期待,ピザ,他,連れ,一言,結局,ピザ,笑,機会,夜,感じ,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,休日,東京ドーム,ミーツポート,レストラン,訪問,ガラス張り,外観,店内,子連れ,デート,女子会,シーン,カジュアル,空間,頃,訪問,テーブル席,案内,今回,オーダー,サルモーネ,税込,サーモン,モッツァレラ,クリームチーズ,爽やか,ピザ,マルゲリータ,税込,トマトソース,モッツァレラ,バジリコ,定番,ピザ,ムートソースペンネ,税込,合計,税込,サラダ,玉ねぎすりおろし,ドレッシング,子供,残念,石窯,サルモーネ,控えめ,塩味,子供,笑,マルゲリータ,トマト,素材,店内,席数,スムーズ,ポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,平日,夜,デート,利用,窓側,席,用意,簡易,的,個室,感,リラックス,食事,最初,自慢,ドレッシング,サラダ,注文,ドレッシング,前菜,主役,級,安定,シーザーサラダ,店,例外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,立川,マンスリー,レビュー,前,夜,訪問,以来,訪問,人気,店,訪問,ランチタイム,席,利用,店頭,週,替わり,グラタン,ソーセージ,アスパラ,グラタン,記載,週,替わり,グラタン,サラダ,ドリンク,ドリンク,後,グラス,ワイン,生ビール,シチリアレモンウォーター,今回,満点,応援,ポイント,独創性,地元率,ビジュアル,フロア,女性,オーダー,会計,時間,料理,提供,ランチタイム,回転,結果,店内,混雑,グループ,多く,店内,満席,オーダー,サラダ,ドリンク,提供,オーダー,グラタン,提供,時間,味,方,味付け,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,今日,イタリアン,店,立川,店,邪魔,紹介,会社,周り,店,最近,他,地域,今回,立川駅,昼ごはん,立川駅,周辺,店,チェック,時,目,立川,店,雲,一つ,青空,自然,気分,日,外回り,営業,時,普段,日々,営業,成績,事,メニュー,今回,ギリシャ,スパゲッティ,注文,料理,ギリシャ,スパゲッティ,到着,見た目,目,前,料理,香り,満喫,自然,口,唾液,分泌,我慢,事,想像,通り,口,中,一口,運び,素材,味,感,空腹,完,食,余韻,次,予定,退店,体力,仕事,普段,気,生活,今回,ギリシャ,スパゲッティ,昼,満足,同僚,取引先,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,訪問,再訪,今回,生中,スーパードライレア,加減,大,満足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,件,行こう,店,閉店,撤退,中,結果的,期待,店,生,レモンサワー,蓮根,揚げ,鳥,肉,厚,スライス,肉,弾力,鳥ささみ,一,夜,燻製,香り,最高,特性,煮込み,ヘビー級,煮込み,激辛,煮込み,担々麺,比内地鶏,塩加減,最高,皮,レシート,便利,ー,店,葛城ユキ,声,方,ボヘミア,ン,一,節,様,方,一人,フロワー,切り盛り,無駄,動き,料理,説明,丁寧,好感,余談,トイレ,金,運,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
